DATE;NOM;GENRE;HOMME;FEMME;AGE;AGE2;DOMICILE;ADRESSE;PERP;LIEU;MULTIPLE;BLESSÉS;ESPACE PUBLIC;LOCALISATION POST-MORTEM;CALCINÉS;CAUSE DU DÉCÈS;FUSILLADE;ATTACHÉ;TRACES DE TORTURE;MUTILATION;ENCOBIJADO/ENTEIPADO;MESSAGE;QUALIFICATION;ORIGINE DU DÉFUNT;COMMENTAIRE
01-Jan;1;1;0;1;1;17;1;Col. El Rastro;1;COL. EL RASTRO;0;0;2;0;0;0;0;0;0;0;0;0;1;;PERP. EST CUÑADO
02-Jan;1;1;1;0;1;28;;;0;C. ZARAGOZA ESQ. ALFONSO ACOSTA, COL. 5 DE MAYO;0;0;0;0;0;1;1;0;0;0;0;0;2;;
04-Jan;1;1;1;0;1;18;;;0;C. PASEO INSPIRACION, COL. CHULAVISTA;1;0;1;1;0;0;0;0;0;0;0;0;2;;
04-Jan;1;1;1;0;1;22;;;0;C. PASEO INSPIRACION, COL. CHULAVISTA;1;0;1;1;0;0;0;0;0;0;0;0;2;;
04-Jan;1;1;0;1;1;22;;;0;C. NARCISO MENDOZA, COL. LOMAS DE FÁTIMA, BARRIO DE LA CAPILLA;0;0;1;1;0;0;0;0;0;0;0;0;2;;ARTICLE, NDT
04-Jan;0;0;0;0;0;;;;0;MAQUILADORA MOLEX, P. INDUS. NUEVO NOGALES;0;0;1;1;0;0;0;0;0;0;0;0;2;;
05-Jan;1;1;1;0;1;40;;;0;C. PUERTO RICO ENTRE PADRE NACHO Y MOCTEZUMA, COL. ESPERANZA;0;0;1;1;0;0;0;0;1;0;1;0;0;;ABOGADO
05-Jan;1;1;1;0;1;20;;;0;C. OCCIDENTE E IGNACIO RAMIREZ, COL. MODERNA;0;0;1;1;0;0;0;0;1;0;1;0;0;;
05-Jan;0;0;0;0;0;;;;0;MAQUILADORA MOLEX, P. INDUS. NUEVO NOGALES;0;0;1;1;0;0;0;0;0;0;1;0;0;;
07-Jan;0;0;0;0;0;;;;0;BOLICHE EL GRECO;0;0;1;1;0;0;0;0;0;0;0;0;0;;
